2019-11-21 09:05:11 INFO     Solution Maker: Starting...
2019-11-21 09:05:15 INFO     PH EZO sensor: Started corrrectly
2019-11-21 09:05:15 INFO     EC EZO sensor: Started corrrectly
2019-11-21 09:05:15 INFO     Solution Maker (Temperature readings): It is using an exponencial filter with Alpha = 0.20
2019-11-21 09:05:18 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:18 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:18 INFO     Solution Maker: Started Correctly
2019-11-21 09:05:18 INFO     Solution Maker (Motor 1): 3 is the new calibration param (motors/pumps)
2019-11-21 09:05:18 INFO     Solution Maker (Motor 2): 4 is the new calibration param (motors/pumps)
2019-11-21 09:05:18 INFO     Solution Maker (Motor 3): 5 is the new calibration param (motors/pumps)
2019-11-21 09:05:18 INFO     Solution Maker (Motor 4): 6 is the new calibration param (motors/pumps)
2019-11-21 09:05:18 INFO     Solution Maker (Pump 1): 3 is the new calibration param (motors/pumps)
2019-11-21 09:05:18 INFO     Solution Maker (Pump 2): 4 is the new calibration param (motors/pumps)
2019-11-21 09:05:18 INFO     Solution Maker (Motor 1): 5 is the new calibration param (ph/ec equations)
2019-11-21 09:05:18 INFO     Solution Maker (Motor 2): 6 is the new calibration param (ph/ec equations)
2019-11-21 09:05:18 INFO     Solution Maker (Motor 3): 3 is the new calibration param (ph/ec equations)
2019-11-21 09:05:18 INFO     Solution Maker (Motor 4): 4 is the new calibration param (ph/ec equations)
2019-11-21 09:05:18 INFO     Solution Maker (Pump 1): 5 is the new calibration param (ph/ec equations)
2019-11-21 09:05:18 INFO     Solution Maker (Pump 2): 6 is the new calibration param (ph/ec equations)
2019-11-21 09:05:18 INFO     EEPROM calibration parameters readed and charged
2019-11-21 09:05:23 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:23 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:28 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:28 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:33 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:33 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:38 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:38 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:43 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:43 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:48 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:48 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:53 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:53 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:58 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:05:58 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:03 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:03 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:08 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:08 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:13 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:13 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:18 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:18 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:23 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:23 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:28 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:28 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:33 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:33 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:38 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:38 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:43 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:43 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:48 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:48 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:53 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:53 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:58 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:06:58 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:07:04 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:07:04 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:07:09 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:07:09 INFO     EC EZO sensor: Temperature parameter has to be positive
2019-11-21 09:07:14 INFO     PH EZO sensor: Temperature parameter has to be positive
2019-11-21 09:07:14 INFO     EC EZO sensor: Temperature parameter has to be positive
